Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers (U.K.) Ltd.
Statement,Data,BrokerAddress,"Level 20 Heron Tower, 110 Bishopsgate, London EC2N 4AY, UK. Regulated by FCA"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 29, 2020 - December 31, 2020"
Statement,Data,WhenGenerated,"2022-03-04, 15:54:37 EST"
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm/Fee,Code
Trades,SubTotal,,Stocks,USD,INTU,,1,,-260.25,-1,
Trades,Data,Order,Stocks,USD,IRM,"2020-05-13, 09:41:08",9,22.79,-205.11,-1,
Trades,SubTotal,,Stocks,USD,IRM,,9,,-205.11,-1,
Trades,Data,Order,Stocks,USD,JKHY,"2020-05-14, 13:28:22",2,184.5,-369,-1,P
Trades,Data,Order,Stocks,USD,JKHY,"2020-10-13, 14:43:34",-2,162.15,324.3,-1.00740503,
Trades,SubTotal,,Stocks,USD,JKHY,,0,,-44.7,-2.00740503,
Trades,Data,Order,Stocks,USD,JNJ,"2020-02-21, 11:57:25",4,148.7485,-594.994,-1,
Trades,Data,Order,Stocks,USD,JNJ,"2020-02-28, 15:27:37",3,131.87,-395.61,-1,
Trades,SubTotal,,Stocks,USD,JNJ,,7,,-990.604,-2,
Trades,Data,Order,Stocks,USD,KO,"2020-02-20, 12:32:41",10,59.339,-593.39,-1,
Trades,Data,Order,Stocks,USD,KO,"2020-02-28, 15:19:08",7,53.14,-371.98,-1,
Trades,Data,Order,Stocks,USD,KO,"2020-05-14, 13:01:48",6,43.989,-263.934,-1,
Trades,SubTotal,,Stocks,USD,KO,,23,,-1229.304,-3,
Trades,Data,Order,Stocks,USD,LK,"2020-03-05, 13:38:38",20,42.3,-846,-1,
Trades,Data,Order,Stocks,USD,LK,"2020-05-20, 11:35:08",100,2.94,-294,-1,P
Trades,SubTotal,,Stocks,USD,LK,,120,,-1140,-2,
Trades,Data,Order,Stocks,USD,LK,"2020-11-02, 15:26:16",-120,4.57,548.4,-1.02639964,
Trades,SubTotal,,Stocks,USD,LK,,-120,,548.4,-1.02639964,
Trades,Data,Order,Stocks,USD,LMND,"2020-12-09, 11:33:07",4,87.6,-350.4,-1,
Trades,SubTotal,,Stocks,USD,LMND,,4,,-350.4,-1,
Trades,Data,Order,Stocks,USD,LMT,"2020-12-08, 13:05:11",1,361,-361,-1,
Trades,SubTotal,,Stocks,USD,LMT,,1,,-361,-1,
Trades,Data,Order,Stocks,USD,MCD,"2020-03-11, 15:50:02",2,188,-376,-1,
Trades,Data,Order,Stocks,USD,MCD,"2020-03-13, 14:48:36",2,170.3,-340.6,-1,
Trades,Data,Order,Stocks,USD,MCD,"2020-03-18, 11:57:35",2,136.48,-272.96,-1,
Trades,SubTotal,,Stocks,USD,MCD,,6,,-989.56,-3,
Trades,Data,Order,Stocks,USD,MKTX,"2020-05-19, 11:50:21",1,486,-486,-1,
Trades,SubTotal,,Stocks,USD,MKTX,,1,,-486,-1,
Trades,Data,Order,Stocks,USD,MMM,"2020-02-24, 13:57:54",2,152.98,-305.96,-1,
Trades,Data,Order,Stocks,USD,MMM,"2020-02-27, 15:00:10",3,152.7,-458.1,-1,
Trades,Data,Order,Stocks,USD,MMM,"2020-06-24, 15:42:32",2,152.61,-305.22,-1,
Trades,SubTotal,,Stocks,USD,MMM,,7,,-1069.28,-3,
Trades,Data,Order,Stocks,USD,MO,"2020-10-06, 15:36:29",7,39.71,-277.97,-1,
Trades,SubTotal,,Stocks,USD,MO,,7,,-277.97,-1,
Trades,Data,Order,Stocks,USD,MSFT,"2020-02-24, 14:01:27",3,172,-516,-1,
Trades,SubTotal,,Stocks,USD,MSFT,,3,,-516,-1,
Trades,Data,Order,Stocks,USD,NVDA,"2020-06-26, 14:40:53",1,366.86,-366.86,-1,
Trades,Data,Order,Stocks,USD,NVDA,"2020-10-19, 15:51:58",-1,539,539,-1.0120309,
Trades,SubTotal,,Stocks,USD,NVDA,,0,,172.14,-2.0120309,
Trades,Data,Order,Stocks,USD,O,"2020-02-18, 11:38:58",10,80.07,-800.7,-1,
Trades,SubTotal,,Stocks,USD,O,,10,,-800.7,-1,
Trades,Data,Order,Stocks,USD,OKTA,"2020-04-23, 13:13:00",1,153.98,-153.98,-1,
Trades,SubTotal,,Stocks,USD,OKTA,,1,,-153.98,-1,
Trades,Data,Order,Stocks,USD,PEP,"2020-03-09, 15:13:35",3,129.5,-388.5,-1,
Trades,Data,Order,Stocks,USD,PEP,"2020-03-12, 15:09:48",3,118.448,-355.344,-1,
Trades,SubTotal,,Stocks,USD,PEP,,6,,-743.844,-2,
Trades,Data,Order,Stocks,USD,PFE,"2020-02-24, 13:56:55",10,34.735,-347.35,-1,
Trades,Data,Order,Stocks,USD,PFE,"2020-02-26, 14:39:33",7,34.86,-244.02,-1,
Trades,Data,Order,Stocks,USD,PFE,"2020-11-16, 13:22:50",10,37.02,-370.2,-1,
Trades,SubTotal,,Stocks,USD,PFE,,27,,-961.57,-3,
Trades,Data,Order,Stocks,USD,PLTR,"2020-12-17, 09:30:49",20,26.3,-526,-1,
Trades,SubTotal,,Stocks,USD,PLTR,,20,,-526,-1,
Trades,Data,Order,Stocks,USD,PM,"2020-12-10, 09:56:57",4,84.6,-338.4,-1,P
Trades,SubTotal,,Stocks,USD,PM,,4,,-338.4,-1,
Trades,Data,Order,Stocks,USD,PRU,"2020-02-18, 11:36:33",6,92.75,-556.5,-1,
Trades,SubTotal,,Stocks,USD,PRU,,6,,-556.5,-1,
Trades,Data,Order,Stocks,USD,QCOM,"2020-05-04, 10:59:11",3,75.25,-225.75,-1,
Trades,SubTotal,,Stocks,USD,QCOM,,3,,-225.75,-1,
Trades,Data,Order,Stocks,USD,ROKU,"2020-12-10, 09:54:39",1,311.89,-311.89,-1,
Trades,SubTotal,,Stocks,USD,ROKU,,1,,-311.89,-1,
