Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Central Europe Zrt.
Statement,Data,BrokerAddress,"Madach Imre ut 13-14, Floor 5, Budapest, 1075, Hungary"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2023 - December 31, 2023"
Statement,Data,WhenGenerated,"2024-02-20, 17:21:06 EST"
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm/Fee,Code
Trades,Data,Order,Stocks,USD,GOOG,"2023-02-09, 09:30:28",1,99.98,-99.98,-0.34835725,
Trades,Data,Order,Stocks,USD,GOOG,"2023-03-02, 09:30:02",13,89.78,-1167.14,-0.37235725,
Trades,Data,Order,Stocks,USD,GOOG,"2023-04-13, 13:03:20",-37,107.5,3977.5,-0.31714225,
Trades,SubTotal,,Stocks,USD,GOOG,,-3,,948.68,-1.70037125,
Trades,Data,Order,Stocks,USD,HII,"2023-07-10, 15:06:55",-2,227.44,454.88,-0.35458629,
Trades,SubTotal,,Stocks,USD,HII,,-2,,454.88,-0.35458629,
Trades,Data,Order,Stocks,USD,IIPR,"2023-09-18, 14:17:22",-3,86.16,258.48,-0.35336009,
Trades,SubTotal,,Stocks,USD,IIPR,,-3,,258.48,-0.35336009,
Trades,Data,Order,Stocks,USD,INTC,"2023-09-18, 14:22:25",-31,38.1512,1182.6872,-0.370413748,
Trades,SubTotal,,Stocks,USD,INTC,,-31,,1182.6872,-0.370413748,
Trades,Data,Order,Stocks,USD,KR,"2023-09-18, 14:31:51",-10,46.782,467.82,-0.35744981,
Trades,SubTotal,,Stocks,USD,KR,,-10,,467.82,-0.35744981,
Trades,Data,Order,Stocks,USD,LMT,"2023-09-18, 14:18:10",-3,431.16,1293.48,-0.37064009,
Trades,SubTotal,,Stocks,USD,LMT,,-3,,1293.48,-0.37064009,
Trades,Data,Order,Stocks,USD,MCD,"2023-04-13, 13:00:52",-6,287.44,1724.64,-0.36612437,
Trades,SubTotal,,Stocks,USD,MCD,,-6,,1724.64,-0.36612437,
Trades,Data,Order,Stocks,USD,MMM,"2023-11-29, 15:25:25",-12,98.25,1179,-0.36382925,
Trades,SubTotal,,Stocks,USD,MMM,,-12,,1179,-0.36382925,
Trades,Data,Order,Stocks,USD,MO,"2023-09-18, 14:16:47",-7,43.345,303.415,-0.35509957,
Trades,SubTotal,,Stocks,USD,MO,,-7,,303.415,-0.35509957,
Trades,Data,Order,Stocks,USD,MPW,"2023-11-29, 15:24:45",-100,4.8513,485.13,-0.38863829,
Trades,SubTotal,,Stocks,USD,MPW,,-100,,485.13,-0.38863829,
Trades,Data,Order,Stocks,USD,MRK,"2023-09-18, 14:21:49",-10,107.644,1076.44,-0.36231877,
Trades,SubTotal,,Stocks,USD,MRK,,-10,,1076.44,-0.36231877,
Trades,Data,Order,Stocks,USD,MS,"2023-01-17, 15:19:20",-2,96.865,193.73,-0.355383667,
Trades,SubTotal,,Stocks,USD,MS,,-2,,193.73,-0.355383667,
Trades,Data,Order,Stocks,USD,NLOP,"2023-11-01, 20:25:00",-0.7333,19.1796,14.06440068,0,
Trades,SubTotal,,Stocks,USD,NLOP,,-0.7333,,14.06440068,0,
Trades,Data,Order,Stocks,USD,O,"2023-04-24, 14:39:10",11,61.72,-678.92,-0.33925725,
Trades,Data,Order,Stocks,USD,O,"2023-08-03, 11:08:36",10,58.87,-588.7,-0.34025725,
Trades,SubTotal,,Stocks,USD,O,,21,,-1267.62,-0.6795145,
Trades,Data,Order,Stocks,USD,OGN,"2023-11-29, 15:20:41",-14,11.362,159.068,-0.356359794,
Trades,SubTotal,,Stocks,USD,OGN,,-14,,159.068,-0.356359794,
Trades,Data,Order,Stocks,USD,OKTA,"2023-11-29, 15:27:07",-2,70.13,140.26,-0.35806933,
Trades,SubTotal,,Stocks,USD,OKTA,,-2,,140.26,-0.35806933,
Trades,Data,Order,Stocks,USD,ONL,"2023-11-29, 15:19:55",-26,5.3112,138.0912,-0.36033198,
Trades,SubTotal,,Stocks,USD,ONL,,-26,,138.0912,-0.36033198,
Trades,Data,Order,Stocks,USD,PEP,"2023-09-18, 14:21:02",-13,179.43,2332.59,-0.36650297,P
Trades,SubTotal,,Stocks,USD,PEP,,-13,,2332.59,-0.36650297,
Trades,Data,Order,Stocks,USD,PM,"2023-07-10, 15:13:53",-10,97.57,975.7,-0.34551285,
Trades,SubTotal,,Stocks,USD,PM,,-10,,975.7,-0.34551285,
Trades,Data,Order,Stocks,USD,PRU,"2023-01-17, 15:26:23",-6,101.02,606.12,-0.384207398,
Trades,SubTotal,,Stocks,USD,PRU,,-6,,606.12,-0.384207398,
Trades,Data,Order,Stocks,USD,SBUX,"2023-09-18, 14:25:58",-10,96.6412,966.412,-0.361438546,
Trades,SubTotal,,Stocks,USD,SBUX,,-10,,966.412,-0.361438546,
Trades,Data,Order,Stocks,USD,SE,"2023-11-29, 15:27:56",-2,36.97,73.94,-0.35153877,
Trades,SubTotal,,Stocks,USD,SE,,-2,,73.94,-0.35153877,
Trades,Data,Order,Stocks,USD,TROW,"2023-01-31, 09:30:02",5,113.46,-567.3,-0.35875725,
Trades,SubTotal,,Stocks,USD,TROW,,5,,-567.3,-0.35875725,
Trades,Data,Order,Stocks,USD,TSN,"2023-05-09, 09:30:01",10,50.27,-502.7,-0.36225725,
Trades,SubTotal,,Stocks,USD,TSN,,10,,-502.7,-0.36225725,
Trades,Data,Order,Stocks,USD,TTD,"2023-07-10, 15:15:16",-4,75.74,302.96,-0.35406093,
Trades,SubTotal,,Stocks,USD,TTD,,-4,,302.96,-0.35406093,
Trades,Data,Order,Stocks,USD,UNP,"2023-01-20, 14:27:28",5,206.9,-1034.5,-0.34525725,
Trades,SubTotal,,Stocks,USD,UNP,,5,,-1034.5,-0.34525725,
Trades,Data,Order,Stocks,USD,VICI,"2023-08-03, 11:08:11",33,30.88,-1019.04,-0.30405725,
Trades,Data,Order,Stocks,USD,VICI,"2023-08-15, 12:53:22",17,30.2,-513.4,-0.33325725,
Trades,SubTotal,,Stocks,USD,VICI,,50,,-1532.44,-0.6373145,
Trades,Total,,Stocks,USD,,,,,19404.32980068,-17.052982749, 
Trades,Total,,Stocks,PLN,,,,,82476.087009126,-71.7457006, 
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm/Fee,Code
Trades,Data,Order,Equity and Index Options,GBP,LGEN 21JUL23 2.4 C,"2023-05-11, 05:26:58",-1,0.035,35,-1.4,
Trades,Data,Order,Equity and Index Options,GBP,LGEN 21JUL23 2.4 C,"2023-07-21, 15:00:00",1,0,0,0,C;Ep
Trades,SubTotal,,Equity and Index Options,GBP,LGEN 21JUL23 2.4 C,,0,,35,-1.4,
Trades,Total,,Equity and Index Options,GBP,,,,,35,-1.4, 
Trades,Total,,Equity and Index Options,PLN,,,,,182.112,-7.28448, 
Trades,Data,Order,Equity and Index Options,USD,MPW 21JUL23 16 C,"2023-01-12, 10:13:37",-1,0.57,57,-1.0418953,
Trades,Data,Order,Equity and Index Options,USD,MPW 21JUL23 16 C,"2023-07-21, 16:20:00",1,0,0,0,C;Ep
Trades,SubTotal,,Equity and Index Options,USD,MPW 21JUL23 16 C,,0,,57,-1.0418953,
Trades,Data,Order,Equity and Index Options,USD,MPW 18AUG23 11 C,"2023-08-07, 14:21:45",-1,0.19,19,-1.052642,
Trades,Data,Order,Equity and Index Options,USD,MPW 18AUG23 11 C,"2023-08-18, 16:20:00",1,0,0,0,C;Ep
Trades,SubTotal,,Equity and Index Options,USD,MPW 18AUG23 11 C,,0,,19,-1.052642,
Trades,Total,,Equity and Index Options,USD,,,,,76,-2.0945373, 
Trades,Total,,Equity and Index Options,PLN,,,,,322.9981,-8.740225118, 
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm in PLN,Code
Trades,Data,Order,Forex,CAD,USD.CAD,"2023-01-30, 16:30:00",6.53619183,1.3387,-8.75,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2023-02-01, 16:30:00",11.89616253,1.329,-15.81,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2023-03-02, 16:30:00",8.31862312,1.3596,-11.309999999,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2023-04-27, 16:30:00",6.43761036,1.3592,-8.75,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2023-05-01, 16:30:00",5.83284111,1.3544,-7.899999999,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2023-05-02, 16:30:00",5.9885513,1.3626,-8.16,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2023-06-02, 16:30:00",8.42269884,1.3428,-11.31,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2023-07-28, 16:30:00",6.79846073,1.3253,-9.01,0,
