Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Central Europe Zrt.
Statement,Data,BrokerAddress,"Madach Imre ut 13-14, Floor 5, Budapest, 1075, Hungary"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 5, 2021 - December 31, 2021"
Statement,Data,WhenGenerated,"2022-03-04, 16:04:33 EST"
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm/Fee,Code
Trades,Data,Order,Stocks,CAD,BNS,"2021-02-25, 11:34:12",10,75.48,-754.8,-1,
Trades,SubTotal,,Stocks,CAD,BNS,,10,,-754.8,-1,
Trades,Data,Order,Stocks,CAD,ENB,"2021-02-19, 09:30:00",15,43.71,-655.65,-1,
Trades,SubTotal,,Stocks,CAD,ENB,,15,,-655.65,-1,
Trades,Data,Order,Stocks,CAD,MFC,"2021-11-30, 16:20:00",100,24.5,-2450,0,A
Trades,SubTotal,,Stocks,CAD,MFC,,100,,-2450,0,
Trades,Data,Order,Stocks,CAD,TD,"2021-02-25, 11:01:43",10,77.86,-778.6,-1,
Trades,SubTotal,,Stocks,CAD,TD,,10,,-778.6,-1,
Trades,Data,Order,Stocks,CAD,TRP,"2021-02-19, 09:30:11",10,57.15,-571.5,-1,
Trades,SubTotal,,Stocks,CAD,TRP,,10,,-571.5,-1,
Trades,Total,,Stocks,CAD,,,,,-5210.55,-4, 
Trades,Total,,Stocks,USD,,,,,-4100.300158,-3.17224, 
Trades,Data,Order,Stocks,EUR,EMIM,"2021-11-26, 09:20:06",4,30.98,-123.92,-1.8812392,
Trades,SubTotal,,Stocks,EUR,EMIM,,4,,-123.92,-1.8812392,
Trades,Data,Order,Stocks,EUR,FREd,"2021-12-10, 03:30:10",12,34,-408,-1.89408,
Trades,SubTotal,,Stocks,EUR,FREd,,12,,-408,-1.89408,
Trades,Total,,Stocks,EUR,,,,,-531.92,-3.7753192, 
Trades,Total,,Stocks,USD,,,,,-601.986256,-4.272716863, 
Trades,Data,Order,Stocks,RUB,GAZP,"2021-11-16, 07:45:00",150,338,-50700,-120.35,
Trades,SubTotal,,Stocks,RUB,GAZP,,150,,-50700,-120.35,
Trades,Total,,Stocks,RUB,,,,,-50700,-120.35, 
