Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Ireland Limited (formerly Interactive Brokers Central Europe Zrt.)
Statement,Data,BrokerAddress,"North Dock One, 91/92 North Wall Quay, Dublin 1"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2024 - December 31, 2024"
Statement,Data,WhenGenerated,"2025-02-15, 23:31:23 EST"
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm/Fee,Code
Trades,Data,Order,Forex,SGD,USD.SGD,"2024-03-07, 16:30:00",2.94029403,1.3332,-3.919999999,0,
Trades,Data,Order,Forex,SGD,USD.SGD,"2024-03-07, 20:26:00",8.28082808,1.3332,-11.04,0,
Trades,Data,Order,Forex,SGD,USD.SGD,"2024-08-29, 16:30:00",27.93338961,1.3031,-36.399999999,0,
Trades,Data,Order,Forex,SGD,USD.SGD,"2024-09-02, 16:30:00",11.53522527,1.3073,-15.079999999,0,
Trades,SubTotal,,Forex,SGD,USD.SGD,,73.64323573,,-97.339999997,0,
Trades,Total,,Forex,SGD,,,,,-97.339999997,0, 
Trades,Total,,Forex,PLN,,,,,-288.386047991,0, 
Trades,Data,Order,Forex,USD,EUR.USD,"2024-03-05, 11:58:33",-485,1.086065052,526.74155,0,L;P
Trades,SubTotal,,Forex,USD,EUR.USD,,-485,,526.74155,0,
Trades,Data,Order,Forex,USD,GBP.USD,"2024-03-05, 11:58:35",-200,1.27085,254.17,0,L
Trades,Data,Order,Forex,USD,GBP.USD,"2024-04-25, 13:11:52",-12,1.25145,15.0174,0,L
Trades,SubTotal,,Forex,USD,GBP.USD,,-212,,269.1874,0,
Trades,Total,,Forex,USD,,,,,795.92895,0, 
Trades,Total,,Forex,PLN,,,,,3162.096561285,0, 
