Data,Czas,Produkt,ISIN,Giełda referenc,Miejsce wykonania,Liczba,Kurs,,Wartość lokalna,,Wartość,,Kurs wymian,Opłata transakcyjna,,Razem,,Identyfikator zlecenia
23-04-2021,21:07,INTEL CORPORATION - CO,US4581401001,NDQ,CDED,3,58.9200,USD,-176.76,USD,-146.18,EUR,1.2092,-0.51,EUR,-146.69,EUR,9cec2f37-87a6-48cd-ab27-bd9f1e9685cb
19-04-2021,21:37,ATLASSIAN CORP PLC-CLASS A,GB00BZ09BD16,NDQ,ARCX,1,228.6000,USD,-228.60,USD,-189.93,EUR,1.2036,-0.50,EUR,-190.43,EUR,27114e9d-61ad-4e99-9ca9-f5c4e24f6a44
19-04-2021,16:28,BR.AMER.TOB.,GB0002875804,LSE,MESI,12,2910.5000,GBX,-34926.00,GBX,-405.55,EUR,86.1200,-4.20,EUR,-409.75,EUR,bd5e65c0-a47e-4d14-b743-f2a22a5d1f7c
19-04-2021,15:30,TORO COMPANY (THE) COM,US8910921084,NSY,XNYS,3,113.0000,USD,-339.00,USD,-281.84,EUR,1.2028,-0.51,EUR,-282.35,EUR,821fdbed-9c6c-467f-b392-c22e1d02b38a
01-04-2021,21:40,ATLASSIAN CORP PLC-CLASS A,GB00BZ09BD16,NDQ,CDED,1,222.7300,USD,-222.73,USD,-189.22,EUR,1.1771,-0.50,EUR,-189.72,EUR,5cae9f9f-3a67-4695-a62e-e8f0ee7fd78e
17-03-2021,16:34,ABBVIE INC. COMMON STO,US00287Y1091,NSY,CDED,5,104.3200,USD,-521.60,USD,-438.14,EUR,1.1905,-0.52,EUR,-438.66,EUR,9c92fae1-3c8f-4919-adc3-e080d926a5ad
17-03-2021,09:53,AHOLD DELHAIZE,NL0011794037,EAM,MESI,22,22.9400,EUR,-504.68,EUR,-504.68,EUR,,-4.25,EUR,-508.93,EUR,c30f60b1-dcf6-4706-a766-dcd7289eb33f
12-03-2021,17:54,PHILIP MORRIS INTERNAT,US7181721090,NSY,SOHO,3,87.1800,USD,-261.54,USD,-218.79,EUR,1.1954,-0.51,EUR,-219.30,EUR,244d2399-cb33-458b-a961-fa430878fec0
10-03-2021,18:14,SILVERGATE CAPITAL CORPORATION CLASS A COMMON STOC,US82837P4081,NSY,XNAS,3,121.1000,USD,-363.30,USD,-305.32,EUR,1.1899,-0.51,EUR,-305.83,EUR,3bc99780-cac3-4029-899b-5a32a697853d
02-03-2021,16:12,HOME DEPOT INC. (THE),US4370761029,NSY,CDED,1,262.6300,USD,-262.63,USD,-218.15,EUR,1.2039,-0.50,EUR,-218.65,EUR,0f8c1413-4410-4072-a3bd-e5f3f184701a
01-03-2021,16:09,AIRBNB INC-CLASS A,US0090661010,NDQ,CDED,1,195.0100,USD,-195.01,USD,-162.04,EUR,1.2035,-0.50,EUR,-162.54,EUR,5dd03354-7835-4f6b-affa-eb87d5bee017
25-02-2021,17:32,AIRBNB INC-CLASS A,US0090661010,NDQ,CDED,1,186.4800,USD,-186.48,USD,-152.54,EUR,1.2225,-0.50,EUR,-153.04,EUR,add57547-f1f6-409e-8f68-b600370d425e
